INFO:root:Starting EM-Lab Run
INFO:root:emlab database: sqlite:///C:\Users\isanchezjimene\Documents\TraderesCode\toolbox-amiris-emlab\.spinetoolbox\items\emlabdb\EmlabDB.sqlite
INFO:root:SpineDBRW: Start Read Repository
WARNING:root:No value found for class: node, object: LNG, parameter: annual_resource_limit
WARNING:root:No value found for class: unit, object: Building_heat_pump_air_to_air, parameter: planned_outage
WARNING:root:No value found for class: unit, object: Building_heat_pump_air_to_water, parameter: planned_outage
WARNING:root:No value found for class: unit, object: CCS, parameter: planned_outage
WARNING:root:No value found for class: unit, object: CSP_Parabolic, parameter: planned_outage
WARNING:root:No value found for class: unit, object: CSP_Tower, parameter: planned_outage
WARNING:root:No value found for class: unit, object: Hydropower_ROR, parameter: planned_outage
WARNING:root:No value found for class: unit, object: Hydropower_reservoir_large, parameter: planned_outage
WARNING:root:No value found for class: unit, object: Hydropower_reservoir_medium, parameter: planned_outage
WARNING:root:No value found for class: unit, object: Hydropower_reservoir_small, parameter: planned_outage
WARNING:root:No value found for class: unit, object: Industry_nuclear_heater_DH, parameter: planned_outage
WARNING:root:No value found for class: unit, object: Industry_nuclear_heater_PH, parameter: planned_outage
WARNING:root:No value found for class: unit, object: Nuclear, parameter: planned_outage
WARNING:root:No value found for class: unit, object: Nuclear_CHP_DH, parameter: planned_outage
WARNING:root:No value found for class: unit, object: Nuclear_CHP_PH, parameter: planned_outage
WARNING:root:No value found for class: unit, object: PEM_Electrolyzer, parameter: planned_outage
WARNING:root:No value found for class: unit, object: PV_commercial_systems, parameter: planned_outage
WARNING:root:No value found for class: unit, object: PV_residential, parameter: planned_outage
WARNING:root:No value found for class: unit, object: PV_utility_systems, parameter: planned_outage
WARNING:root:No value found for class: unit, object: Solar_district_heating_DH, parameter: planned_outage
WARNING:root:No value found for class: unit, object: Solar_district_heating_PH, parameter: planned_outage
WARNING:root:No value found for class: unit, object: WTG_offshore, parameter: planned_outage
WARNING:root:No value found for class: unit, object: WTG_onshore, parameter: planned_outage
WARNING:root:No value found for class: unit, object: Wave_energy, parameter: planned_outage
INFO:root:Object Class not defined: CO2_captured
INFO:root:Object Class not defined: CO2_captured
INFO:root:Object Class not defined: CO2_captured
INFO:root:Object Class not defined: CO2_captured
WARNING:root:No value found for class: CO2_captured, object: Hydrogen_to_Jet_Fuel, parameter: vom_cost
WARNING:root:No value found for class: CO2_captured, object: Power_to_Jet_Fuel, parameter: vom_cost
INFO:root:Object Class not defined: CO2_emission
WARNING:root:No value found for class: Configuration, object: SimulationYears, parameter: ConventionalPlantOperator
INFO:root:Object Class not defined: Configuration
INFO:root:Object Class not defined: Configuration
WARNING:root:No value found for class: Configuration, object: priority, parameter: CurrentYear
INFO:root:Object Class not defined: Configuration
WARNING:root:No value found for class: Configuration, object: priority, parameter: End Year
WARNING:root:No value found for class: Configuration, object: SimulationYears, parameter: EnergyProducers
INFO:root:Object Class not defined: Configuration
WARNING:root:No value found for class: Configuration, object: SimulationYears, parameter: FuelPriceTrends
WARNING:root:No value found for class: Configuration, object: priority, parameter: FuelPriceTrends
WARNING:root:No value found for class: Configuration, object: SimulationYears, parameter: Fuels
INFO:root:Object Class not defined: Configuration
WARNING:root:No value found for class: Configuration, object: SimulationYears, parameter: GeometricTrends
WARNING:root:No value found for class: Configuration, object: priority, parameter: GeometricTrends
INFO:root:Object Class not defined: Configuration
WARNING:root:No value found for class: Configuration, object: priority, parameter: Look Ahead
WARNING:root:No value found for class: Configuration, object: SimulationYears, parameter: PowerGeneratingTechnologies
WARNING:root:No value found for class: Configuration, object: priority, parameter: PowerGeneratingTechnologies
WARNING:root:No value found for class: Configuration, object: SimulationYears, parameter: PowerGeneratingTechnologyFuel
INFO:root:Object Class not defined: Configuration
WARNING:root:No value found for class: Configuration, object: SimulationYears, parameter: PowerGridNodes
WARNING:root:No value found for class: Configuration, object: priority, parameter: PowerGridNodes
WARNING:root:No value found for class: Configuration, object: SimulationYears, parameter: PowerPlants
WARNING:root:No value found for class: Configuration, object: priority, parameter: PowerPlants
INFO:root:Object Class not defined: Configuration
WARNING:root:No value found for class: Configuration, object: priority, parameter: SimulationTick
INFO:root:Object Class not defined: Configuration
WARNING:root:No value found for class: Configuration, object: priority, parameter: Start Year
WARNING:root:No value found for class: Configuration, object: SimulationYears, parameter: Status
WARNING:root:No value found for class: Configuration, object: priority, parameter: Status
WARNING:root:No value found for class: Configuration, object: SimulationYears, parameter: StepTrends
WARNING:root:No value found for class: Configuration, object: priority, parameter: StepTrends
WARNING:root:No value found for class: Configuration, object: SimulationYears, parameter: Substances
WARNING:root:No value found for class: Configuration, object: priority, parameter: Substances
WARNING:root:No value found for class: Configuration, object: SimulationYears, parameter: TechnologiesEmlab
INFO:root:Object Class not defined: Configuration
INFO:root:Object Class not defined: Configuration
WARNING:root:No value found for class: Configuration, object: priority, parameter: Time Step
WARNING:root:No value found for class: Configuration, object: SimulationYears, parameter: TriangularTrends
WARNING:root:No value found for class: Configuration, object: priority, parameter: TriangularTrends
WARNING:root:No value found for class: Configuration, object: SimulationYears, parameter: VariableRenewableOperator
INFO:root:Object Class not defined: Configuration
WARNING:root:No value found for class: Configuration, object: SimulationYears, parameter: Zones
WARNING:root:No value found for class: Configuration, object: priority, parameter: Zones
WARNING:root:No value found for class: Configuration, object: SimulationYears, parameter: electricity
INFO:root:Object Class not defined: Configuration
WARNING:root:No value found for class: Configuration, object: SimulationYears, parameter: node
INFO:root:Object Class not defined: Configuration
WARNING:root:No value found for class: Configuration, object: SimulationYears, parameter: trends
INFO:root:Object Class not defined: Configuration
WARNING:root:No value found for class: Configuration, object: SimulationYears, parameter: unit
INFO:root:Object Class not defined: Configuration
INFO:root:Object Class not defined: FuelPriceTrends
INFO:root:Object Class not defined: FuelPriceTrends
INFO:root:Object Class not defined: FuelPriceTrends
INFO:root:Object Class not defined: FuelPriceTrends
INFO:root:Object Class not defined: FuelPriceTrends
INFO:root:Object Class not defined: FuelPriceTrends
INFO:root:Object Class not defined: FuelPriceTrends
INFO:root:Object Class not defined: FuelPriceTrends
INFO:root:Object Class not defined: FuelPriceTrends
INFO:root:Object Class not defined: FuelPriceTrends
INFO:root:Object Class not defined: FuelPriceTrends
INFO:root:Object Class not defined: FuelPriceTrends
INFO:root:Object Class not defined: FuelPriceTrends
INFO:root:Object Class not defined: FuelPriceTrends
INFO:root:Object Class not defined: FuelPriceTrends
INFO:root:Object Class not defined: FuelPriceTrends
INFO:root:Object Class not defined: FuelPriceTrends
INFO:root:Object Class not defined: FuelPriceTrends
INFO:root:Object Class not defined: FuelPriceTrends
INFO:root:Object Class not defined: FuelPriceTrends
INFO:root:Object Class not defined: FuelPriceTrends
INFO:root:Object Class not defined: FuelPriceTrends
INFO:root:Object Class not defined: FuelPriceTrends
INFO:root:Object Class not defined: FuelPriceTrends
INFO:root:Object Class not defined: FuelPriceTrends
INFO:root:Object Class not defined: FuelPriceTrends
INFO:root:Object Class not defined: FuelPriceTrends
INFO:root:Object Class not defined: FuelPriceTrends
INFO:root:Object Class not defined: FuelPriceTrends
INFO:root:Object Class not defined: FuelPriceTrends
INFO:root:Object Class not defined: FuelPriceTrends
INFO:root:Object Class not defined: FuelPriceTrends
INFO:root:Object Class not defined: FuelPriceTrends
INFO:root:Object Class not defined: FuelPriceTrends
INFO:root:Object Class not defined: FuelPriceTrends
INFO:root:Object Class not defined: FuelPriceTrends
INFO:root:Object Class not defined: FuelPriceTrends
INFO:root:Object Class not defined: FuelPriceTrends
INFO:root:Object Class not defined: FuelPriceTrends
INFO:root:Object Class not defined: FuelPriceTrends
INFO:root:Object Class not defined: FuelPriceTrends
INFO:root:Object Class not defined: FuelPriceTrends
INFO:root:Object Class not defined: FuelPriceTrends
INFO:root:Object Class not defined: FuelPriceTrends
INFO:root:Object Class not defined: FuelPriceTrends
INFO:root:Object Class not defined: bioliquids
INFO:root:Object Class not defined: bioliquids
INFO:root:Object Class not defined: bioliquids
INFO:root:Object Class not defined: bioliquids
INFO:root:Object Class not defined: biomethane
INFO:root:Object Class not defined: building_heating
INFO:root:Object Class not defined: building_heating
INFO:root:Object Class not defined: building_heating
INFO:root:Object Class not defined: building_heating
WARNING:root:No value found for class: collectable_residues, object: FT_process, parameter: fom_cost
INFO:root:Object Class not defined: collectable_residues
WARNING:root:No value found for class: collectable_residues, object: FT_process, parameter: investment_cost
INFO:root:Object Class not defined: collectable_residues
INFO:root:Object Class not defined: collectable_residues
INFO:root:Object Class not defined: collectable_residues
WARNING:root:No value found for class: collectable_residues, object: FT_process, parameter: vom_cost
INFO:root:Object Class not defined: collectable_residues
WARNING:root:No value found for class: district_heating, object: Biomass_CHP_wood_pellets_DH, parameter: fom_cost
INFO:root:Object Class not defined: district_heating
INFO:root:Object Class not defined: district_heating
INFO:root:Object Class not defined: district_heating
INFO:root:Object Class not defined: district_heating
INFO:root:Object Class not defined: district_heating
INFO:root:Object Class not defined: district_heating
INFO:root:Object Class not defined: district_heating
INFO:root:Object Class not defined: district_heating
WARNING:root:No value found for class: district_heating, object: Nuclear_CHP_DH, parameter: fom_cost
INFO:root:Object Class not defined: district_heating
WARNING:root:No value found for class: district_heating, object: Biomass_CHP_wood_pellets_DH, parameter: investment_cost
INFO:root:Object Class not defined: district_heating
INFO:root:Object Class not defined: district_heating
INFO:root:Object Class not defined: district_heating
INFO:root:Object Class not defined: district_heating
INFO:root:Object Class not defined: district_heating
INFO:root:Object Class not defined: district_heating
INFO:root:Object Class not defined: district_heating
INFO:root:Object Class not defined: district_heating
WARNING:root:No value found for class: district_heating, object: Nuclear_CHP_DH, parameter: investment_cost
INFO:root:Object Class not defined: district_heating
WARNING:root:No value found for class: district_heating, object: Biomass_CHP_wood_pellets_DH, parameter: ramp_limit
WARNING:root:No value found for class: district_heating, object: Industry_biomass_boiler_DH, parameter: ramp_limit
WARNING:root:No value found for class: district_heating, object: Industry_electric_heater_DH, parameter: ramp_limit
WARNING:root:No value found for class: district_heating, object: Industry_gas_heater_DH, parameter: ramp_limit
WARNING:root:No value found for class: district_heating, object: Industry_heat_pump_excess_heat_70_35C_DH, parameter: ramp_limit
WARNING:root:No value found for class: district_heating, object: Industry_heat_pump_geothermal_2km_80_40C_DH, parameter: ramp_limit
WARNING:root:No value found for class: district_heating, object: Industry_heat_pump_geothermal_2km_absortion_80_40C_DH, parameter: ramp_limit
WARNING:root:No value found for class: district_heating, object: Industry_heat_pump_seawater_80_40C_DH, parameter: ramp_limit
INFO:root:Object Class not defined: district_heating
WARNING:root:No value found for class: district_heating, object: Nuclear_CHP_DH, parameter: ramp_limit
WARNING:root:No value found for class: district_heating, object: Solar_district_heating_DH, parameter: ramp_limit
WARNING:root:No value found for class: district_heating, object: Biomass_CHP_wood_pellets_DH, parameter: start_cost
WARNING:root:No value found for class: district_heating, object: Industry_biomass_boiler_DH, parameter: start_cost
WARNING:root:No value found for class: district_heating, object: Industry_electric_heater_DH, parameter: start_cost
WARNING:root:No value found for class: district_heating, object: Industry_gas_heater_DH, parameter: start_cost
INFO:root:Object Class not defined: district_heating
WARNING:root:No value found for class: district_heating, object: Industry_heat_pump_geothermal_2km_80_40C_DH, parameter: start_cost
WARNING:root:No value found for class: district_heating, object: Industry_heat_pump_geothermal_2km_absortion_80_40C_DH, parameter: start_cost
INFO:root:Object Class not defined: district_heating
WARNING:root:No value found for class: district_heating, object: Industry_nuclear_heater_DH, parameter: start_cost
WARNING:root:No value found for class: district_heating, object: Nuclear_CHP_DH, parameter: start_cost
WARNING:root:No value found for class: district_heating, object: Solar_district_heating_DH, parameter: start_cost
INFO:root:Object Class not defined: district_heating
INFO:root:Object Class not defined: district_heating
INFO:root:Object Class not defined: district_heating
INFO:root:Object Class not defined: district_heating
INFO:root:Object Class not defined: district_heating
INFO:root:Object Class not defined: district_heating
INFO:root:Object Class not defined: district_heating
INFO:root:Object Class not defined: district_heating
INFO:root:Object Class not defined: district_heating
INFO:root:Object Class not defined: district_heating
WARNING:root:No value found for class: district_heating, object: Solar_district_heating_DH, parameter: subunit_capacity
WARNING:root:No value found for class: district_heating, object: Biomass_CHP_wood_pellets_DH, parameter: vom_cost
INFO:root:Object Class not defined: district_heating
INFO:root:Object Class not defined: district_heating
INFO:root:Object Class not defined: district_heating
INFO:root:Object Class not defined: district_heating
INFO:root:Object Class not defined: district_heating
INFO:root:Object Class not defined: district_heating
INFO:root:Object Class not defined: district_heating
INFO:root:Object Class not defined: district_heating
INFO:root:Object Class not defined: district_heating
INFO:root:Object Class not defined: district_heating
INFO:root:Object Class not defined: financialPowerPlantReports
INFO:root:Object Class not defined: financialPowerPlantReports
INFO:root:Object Class not defined: financialPowerPlantReports
INFO:root:Object Class not defined: financialPowerPlantReports
INFO:root:Object Class not defined: financialPowerPlantReports
INFO:root:Object Class not defined: financialPowerPlantReports
INFO:root:Object Class not defined: financialPowerPlantReports
INFO:root:Object Class not defined: financialPowerPlantReports
INFO:root:Object Class not defined: financialPowerPlantReports
INFO:root:Object Class not defined: financialPowerPlantReports
INFO:root:Object Class not defined: financialPowerPlantReports
INFO:root:Object Class not defined: financialPowerPlantReports
INFO:root:Object Class not defined: financialPowerPlantReports
INFO:root:Object Class not defined: financialPowerPlantReports
INFO:root:Object Class not defined: financialPowerPlantReports
INFO:root:Object Class not defined: financialPowerPlantReports
INFO:root:Object Class not defined: financialPowerPlantReports
INFO:root:Object Class not defined: financialPowerPlantReports
INFO:root:Object Class not defined: financialPowerPlantReports
INFO:root:Object Class not defined: financialPowerPlantReports
INFO:root:Object Class not defined: financialPowerPlantReports
INFO:root:Object Class not defined: financialPowerPlantReports
INFO:root:Object Class not defined: financialPowerPlantReports
INFO:root:Object Class not defined: financialPowerPlantReports
INFO:root:Object Class not defined: financialPowerPlantReports
INFO:root:Object Class not defined: financialPowerPlantReports
INFO:root:Object Class not defined: financialPowerPlantReports
INFO:root:Object Class not defined: financialPowerPlantReports
INFO:root:Object Class not defined: financialPowerPlantReports
INFO:root:Object Class not defined: financialPowerPlantReports
INFO:root:Object Class not defined: financialPowerPlantReports
INFO:root:Object Class not defined: financialPowerPlantReports
INFO:root:Object Class not defined: financialPowerPlantReports
INFO:root:Object Class not defined: financialPowerPlantReports
INFO:root:Object Class not defined: financialPowerPlantReports
INFO:root:Object Class not defined: financialPowerPlantReports
INFO:root:Object Class not defined: financialPowerPlantReports
INFO:root:Object Class not defined: financialPowerPlantReports
INFO:root:Object Class not defined: financialPowerPlantReports
INFO:root:Object Class not defined: financialPowerPlantReports
INFO:root:Object Class not defined: financialPowerPlantReports
INFO:root:Object Class not defined: financialPowerPlantReports
INFO:root:Object Class not defined: financialPowerPlantReports
INFO:root:Object Class not defined: financialPowerPlantReports
INFO:root:Object Class not defined: financialPowerPlantReports
INFO:root:Object Class not defined: financialPowerPlantReports
INFO:root:Object Class not defined: financialPowerPlantReports
INFO:root:Object Class not defined: financialPowerPlantReports
INFO:root:Object Class not defined: financialPowerPlantReports
INFO:root:Object Class not defined: financialPowerPlantReports
INFO:root:Object Class not defined: financialPowerPlantReports
INFO:root:Object Class not defined: financialPowerPlantReports
INFO:root:Object Class not defined: financialPowerPlantReports
INFO:root:Object Class not defined: financialPowerPlantReports
INFO:root:Object Class not defined: financialPowerPlantReports
INFO:root:Object Class not defined: financialPowerPlantReports
INFO:root:Object Class not defined: financialPowerPlantReports
INFO:root:Object Class not defined: financialPowerPlantReports
INFO:root:Object Class not defined: financialPowerPlantReports
INFO:root:Object Class not defined: financialPowerPlantReports
INFO:root:Object Class not defined: financialPowerPlantReports
INFO:root:Object Class not defined: financialPowerPlantReports
INFO:root:Object Class not defined: financialPowerPlantReports
INFO:root:Object Class not defined: financialPowerPlantReports
INFO:root:Object Class not defined: financialPowerPlantReports
INFO:root:Object Class not defined: financialPowerPlantReports
INFO:root:Object Class not defined: financialPowerPlantReports
INFO:root:Object Class not defined: financialPowerPlantReports
INFO:root:Object Class not defined: financialPowerPlantReports
INFO:root:Object Class not defined: financialPowerPlantReports
INFO:root:Object Class not defined: financialPowerPlantReports
INFO:root:Object Class not defined: financialPowerPlantReports
INFO:root:Object Class not defined: financialPowerPlantReports
INFO:root:Object Class not defined: financialPowerPlantReports
INFO:root:Object Class not defined: financialPowerPlantReports
INFO:root:Object Class not defined: financialPowerPlantReports
INFO:root:Object Class not defined: financialPowerPlantReports
INFO:root:Object Class not defined: financialPowerPlantReports
INFO:root:Object Class not defined: financialPowerPlantReports
INFO:root:Object Class not defined: financialPowerPlantReports
INFO:root:Object Class not defined: financialPowerPlantReports
INFO:root:Object Class not defined: financialPowerPlantReports
INFO:root:Object Class not defined: financialPowerPlantReports
INFO:root:Object Class not defined: financialPowerPlantReports
INFO:root:Object Class not defined: financialPowerPlantReports
INFO:root:Object Class not defined: financialPowerPlantReports
INFO:root:Object Class not defined: financialPowerPlantReports
INFO:root:Object Class not defined: financialPowerPlantReports
INFO:root:Object Class not defined: financialPowerPlantReports
INFO:root:Object Class not defined: financialPowerPlantReports
INFO:root:Object Class not defined: financialPowerPlantReports
INFO:root:Object Class not defined: heat
INFO:root:Object Class not defined: heat
INFO:root:Object Class not defined: heat
INFO:root:Object Class not defined: heat
INFO:root:Object Class not defined: hydrogen
INFO:root:Object Class not defined: hydrogen
INFO:root:Object Class not defined: power_to_liquids
INFO:root:Object Class not defined: power_to_liquids
INFO:root:Object Class not defined: power_to_liquids
INFO:root:Object Class not defined: power_to_liquids
INFO:root:Object Class not defined: power_to_liquids
INFO:root:Object Class not defined: power_to_liquids
WARNING:root:No value found for class: process_heat, object: Biomass_CHP_wood_pellets_PH, parameter: fom_cost
INFO:root:Object Class not defined: process_heat
INFO:root:Object Class not defined: process_heat
INFO:root:Object Class not defined: process_heat
INFO:root:Object Class not defined: process_heat
INFO:root:Object Class not defined: process_heat
INFO:root:Object Class not defined: process_heat
INFO:root:Object Class not defined: process_heat
INFO:root:Object Class not defined: process_heat
INFO:root:Object Class not defined: process_heat
WARNING:root:No value found for class: process_heat, object: Nuclear_CHP_PH, parameter: fom_cost
INFO:root:Object Class not defined: process_heat
WARNING:root:No value found for class: process_heat, object: Biomass_CHP_wood_pellets_PH, parameter: investment_cost
INFO:root:Object Class not defined: process_heat
INFO:root:Object Class not defined: process_heat
INFO:root:Object Class not defined: process_heat
INFO:root:Object Class not defined: process_heat
INFO:root:Object Class not defined: process_heat
INFO:root:Object Class not defined: process_heat
INFO:root:Object Class not defined: process_heat
INFO:root:Object Class not defined: process_heat
INFO:root:Object Class not defined: process_heat
WARNING:root:No value found for class: process_heat, object: Nuclear_CHP_PH, parameter: investment_cost
INFO:root:Object Class not defined: process_heat
WARNING:root:No value found for class: process_heat, object: Biomass_CHP_wood_pellets_PH, parameter: ramp_limit
WARNING:root:No value found for class: process_heat, object: Industry_biomass_boiler_PH, parameter: ramp_limit
WARNING:root:No value found for class: process_heat, object: Industry_electric_heater_PH, parameter: ramp_limit
WARNING:root:No value found for class: process_heat, object: Industry_gas_heater_PH, parameter: ramp_limit
WARNING:root:No value found for class: process_heat, object: Industry_heat_pump_excess_heat_70_35C_PH, parameter: ramp_limit
WARNING:root:No value found for class: process_heat, object: Industry_heat_pump_geothermal_2km_80_40C_PH, parameter: ramp_limit
WARNING:root:No value found for class: process_heat, object: Industry_heat_pump_geothermal_2km_absortion_80_40C_PH, parameter: ramp_limit
WARNING:root:No value found for class: process_heat, object: Industry_heat_pump_seawater_80_40C_PH, parameter: ramp_limit
WARNING:root:No value found for class: process_heat, object: Industry_heat_pump_up_to_150C_PH, parameter: ramp_limit
INFO:root:Object Class not defined: process_heat
WARNING:root:No value found for class: process_heat, object: Nuclear_CHP_PH, parameter: ramp_limit
WARNING:root:No value found for class: process_heat, object: Solar_district_heating_PH, parameter: ramp_limit
WARNING:root:No value found for class: process_heat, object: Biomass_CHP_wood_pellets_PH, parameter: start_cost
WARNING:root:No value found for class: process_heat, object: Industry_biomass_boiler_PH, parameter: start_cost
WARNING:root:No value found for class: process_heat, object: Industry_electric_heater_PH, parameter: start_cost
WARNING:root:No value found for class: process_heat, object: Industry_gas_heater_PH, parameter: start_cost
INFO:root:Object Class not defined: process_heat
WARNING:root:No value found for class: process_heat, object: Industry_heat_pump_geothermal_2km_80_40C_PH, parameter: start_cost
WARNING:root:No value found for class: process_heat, object: Industry_heat_pump_geothermal_2km_absortion_80_40C_PH, parameter: start_cost
INFO:root:Object Class not defined: process_heat
WARNING:root:No value found for class: process_heat, object: Industry_heat_pump_up_to_150C_PH, parameter: start_cost
WARNING:root:No value found for class: process_heat, object: Industry_nuclear_heater_PH, parameter: start_cost
WARNING:root:No value found for class: process_heat, object: Nuclear_CHP_PH, parameter: start_cost
WARNING:root:No value found for class: process_heat, object: Solar_district_heating_PH, parameter: start_cost
INFO:root:Object Class not defined: process_heat
INFO:root:Object Class not defined: process_heat
INFO:root:Object Class not defined: process_heat
INFO:root:Object Class not defined: process_heat
INFO:root:Object Class not defined: process_heat
INFO:root:Object Class not defined: process_heat
INFO:root:Object Class not defined: process_heat
INFO:root:Object Class not defined: process_heat
INFO:root:Object Class not defined: process_heat
INFO:root:Object Class not defined: process_heat
INFO:root:Object Class not defined: process_heat
WARNING:root:No value found for class: process_heat, object: Solar_district_heating_PH, parameter: subunit_capacity
WARNING:root:No value found for class: process_heat, object: Biomass_CHP_wood_pellets_PH, parameter: vom_cost
INFO:root:Object Class not defined: process_heat
INFO:root:Object Class not defined: process_heat
INFO:root:Object Class not defined: process_heat
INFO:root:Object Class not defined: process_heat
INFO:root:Object Class not defined: process_heat
INFO:root:Object Class not defined: process_heat
INFO:root:Object Class not defined: process_heat
INFO:root:Object Class not defined: process_heat
INFO:root:Object Class not defined: process_heat
INFO:root:Object Class not defined: process_heat
INFO:root:Object Class not defined: process_heat
INFO:root:Start Initialization Modules
INFO:root:Initializing Module: EM-Lab Capacity Market: Submit Bids
INFO:root:Initializing Module: EM-Lab Capacity Market: Clear Market
INFO:root:Initializing Module: CO2 Market: Determine CO2 Price
INFO:root:Initializing Module: Payment Module: CO2 Payments and Banking
INFO:root:Initializing Module: Payment Module: Use CO2 Allowances and Subtract From Banked
INFO:root:Initializing Module: Market Stability Reserve: Determine Flows
INFO:root:Initializing Module: Creating Financial Reports
INFO:root:End Initialization Modules
INFO:root:Commit Initialization Modules
INFO:root:Start Run Modules
INFO:root:Initializing Module: Clearing the market
INFO:root:Start definition of PP
ERROR:root:Exception occurred: 'Substance' object has no attribute 'reps'
INFO:root:Closing database connections...
